code	pos	struct	size	type	description	enum
FAILURE_MOTOR_TRA_CMD_RANGE	24.3	1 Bit	1	Bool	Comando motore non valido	0:"Avaria assente";1:"Avaria presente"
FAILURE_NAVS_DOWN	24.4	1 Bit	1	Bool	Dati NAVS mancanti	0:"Avaria assente";1:"Avaria presente"
FAILURE_BALLISTIC_OUT_OF_RANGE	24.5	1 Bit	1	Bool	Distanza balistica oltre distanza massima	0:"Avaria assente";1:"Avaria presente"
FAILURE_EMERG_LOCALE	24.6	1 Bit	1	Bool	Emergenza Locale	0:"Avaria assente";1:"Avaria presente"
FAILURE_EMERGENZA_RIARMO	24.7	1 Bit	1	Bool	Emergenza riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_EMERG_SB	25.0	1 Bit	1	Bool	Emergenza Safety Box	0:"Avaria assente";1:"Avaria presente"
FAILURE_EMERGENZA_SC	25.1	1 Bit	1	Bool	Emergenza Scambio Cartella	0:"Avaria assente";1:"Avaria presente"
FAILURE_RELE_TEST_1	25.2	1 Bit	1	Bool	Errore autotest Relé	0:"Avaria assente";1:"Avaria presente"
FAILURE_RELE_TEST_2	25.3	1 Bit	1	Bool	Errore autotest Relé	0:"Avaria assente";1:"Avaria presente"
FAILURE_CAVO_SENSORE	25.4	1 Bit	1	Bool	Errore con il cavo sensore ( not used)	0:"Avaria assente";1:"Avaria presente"
FAILURE_WRONG_IDB	25.5	1 Bit	1	Bool	Errore configurazione ID-Box	0:"Avaria assente";1:"Avaria presente"
FAILURE_COMMUNICATION_ERROR	25.6	1 Bit	1	Bool	Errore di comunciazione con il servo	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_IO_LASER	25.7	1 Bit	1	Bool	Errore di comunicazione con il Laser	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_CHARM_MODULE	26.0	1 Bit	1	Bool	Errore di comunicazione con il tracker	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_TRAINER	26.1	1 Bit	1	Bool	Errore di comunicazione con il Trainer	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_SYNTHETIC	26.2	1 Bit	1	Bool	Errore di comunicazione con il Video Sintetico	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_IO_IR	26.3	1 Bit	1	Bool	Errore di comunicazione con Ottica IR	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_IO_DAY	26.4	1 Bit	1	Bool	Errore di comunicazione con Ottica TV	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_CNS_VRU	26.5	1 Bit	1	Bool	Errore di comunicazione tra CNS e Video Recording	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_CSI	26.6	1 Bit	1	Bool	Errore di comunicazione tra SDT e CSI	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_IO	26.7	1 Bit	1	Bool	Errore di comunicazione tra SDT e Dispositivi di I/O	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_PSU	27.0	1 Bit	1	Bool	Errore di comunicazione tra SDT e PSU ( Not Used)	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_SSB	27.1	1 Bit	1	Bool	Errore di comunicazione tra SDT e Scheda SSB	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_VPB	27.2	1 Bit	1	Bool	Errore di comunicazione tra SDT e scheda VPB	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_SERVO	27.3	1 Bit	1	Bool	Errore di comunicazione tra SDT e SERVO	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_TRACKER	27.4	1 Bit	1	Bool	Errore di comunicazione tra SDT e TRACKER	0:"Avaria assente";1:"Avaria presente"
FAILURE_LINK_SDT_IDB	27.5	1 Bit	1	Bool	Errore di comunicazione tra SDT ed ID-Box	0:"Avaria assente";1:"Avaria presente"
FAILURE_LASER_ERROR	27.6	1 Bit	1	Bool	Errore interno del Laser	0:"Avaria assente";1:"Avaria presente"
FAILURE_MASTER_ARM_L	27.7	1 Bit	1	Bool	Errore Master Arm	0:"Avaria assente";1:"Avaria presente"
FAILURE_PN_SW	28.0	1 Bit	1	Bool	Errore Part Number Sw	0:"Avaria assente";1:"Avaria presente"
FAILURE_RELE_AUT_FUOCO	28.1	1 Bit	1	Bool	Errore rele autorizzazione al fuoco	0:"Avaria assente";1:"Avaria presente"
FAILURE_RELE_FUOCO	28.2	1 Bit	1	Bool	Errore relé comando di fuoco	0:"Avaria assente";1:"Avaria presente"
FAILURE_RELE_SIC_FUOCO	28.3	1 Bit	1	Bool	Errore Rele sicura di fuoco	0:"Avaria assente";1:"Avaria presente"
FAILURE_FAULT_SC	28.4	1 Bit	1	Bool	Errore Scambio Cartella	0:"Avaria assente";1:"Avaria presente"
FAILURE_GRILLETTO_FUOCO_L	28.5	1 Bit	1	Bool	Grilletto fuoco Arma Locale Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_GRILLETTO_FUOCO_R	28.6	1 Bit	1	Bool	Grilletto fuoco Arma Remoto Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_GRILLETTO_LASER_L	28.7	1 Bit	1	Bool	Grilletto fuoco Laser Locale Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_GRILLETTO_LASER_R	29.0	1 Bit	1	Bool	Grilletto fuoco Laser Remoto premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_SERVO_PARAM	29.1	1 Bit	1	Bool	Incoerenza nella struttura dei parametri servotecnici letti dalla Flash	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_SLAVE_ON	29.2	1 Bit	1	Bool	Mancata accensione	0:"Avaria assente";1:"Avaria presente"
FAILURE_SERVO_WAIT_ON	29.3	1 Bit	1	Bool	Mancata accensione del servo	0:"Avaria assente";1:"Avaria presente"
FAILURE_RIL_28V_RIARMO	29.4	1 Bit	1	Bool	Mancata rilettura della 28V durante riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_RIL_28V_FRIZIONE	29.5	1 Bit	1	Padding	Mancata rilettura della 28V frizione	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_SOFT_START	29.6	1 Bit	1	Bool	Mancata rilettura dell'input digitale	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_MASTER_OFF	29.7	1 Bit	1	Bool	Mancata rilettura dell'input digitale	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_MASTER_ON	30.0	1 Bit	1	Bool	Mancata rilettura dell'input digitale	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_BRAKE_IGBT_OFF	30.1	1 Bit	1	Bool	Mancata rimozione del freno del motore	0:"Avaria assente";1:"Avaria presente"
FAILURE_SERVO_WAIT_BRAKE_OFF	30.2	1 Bit	1	Bool	Mancato inserimento del freno	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_BRAKE_IGBT_ON	30.3	1 Bit	1	Bool	Mancato inserimento del freno del motore	0:"Avaria assente";1:"Avaria presente"
FAILURE_SERVO_WAIT_BRAKE_ON	30.4	1 Bit	1	Bool	Mancato sblocco del freno	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_MASTER_PRES_MOD_POTENZA_DIR	30.5	1 Bit	1	Bool	Modulo di potenza di brandeggio non presente	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_SLAVE_PRES_MOD_POTENZA_ELE	30.6	1 Bit	1	Bool	Modulo di potenza di elevazione non presente	0:"Avaria assente";1:"Avaria presente"
FAILURE_BATTERIA	30.7	1 Bit	1	Bool	Not Used	0:"Avaria assente";1:"Avaria presente"
FAILURE_BALLISTIC_OUT_OF_FIELD_OF_VIEW	31.0	1 Bit	1	Bool	Out of range dovuto al campo di vista	0:"Avaria assente";1:"Avaria presente"
FAILURE_PALMARE_L_DX	31.1	1 Bit	1	Bool	Palmare Dx Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_PALMARE_R	31.2	1 Bit	1	Bool	Palmare remoto Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_PALMARE_L_SX	31.3	1 Bit	1	Bool	Palmare Sx Premuto	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_MASTER_WD	31.4	1 Bit	1	Bool	Problemi watchdog rizza brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_SLAVE_WD	31.5	1 Bit	1	Bool	Problemi watchdog rizza elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_RIARMO_NON_CONSENTITO	31.6	1 Bit	1	Bool	Riarmo non consentito	0:"Avaria assente";1:"Avaria presente"
FAILURE_RIL_RTN_RIARMO_FRIZIONE	31.7	1 Bit	1	Bool	Rilettura massa riarmo	0:"Avaria assente";1:"Avaria presente"
FAILURE_NO_ARMA	32.0	1 Bit	1	Bool	Rilevata assenza Arma	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_OVER_CURRENT_TOT	32.1	1 Bit	1	Bool	Rilevata errata corrente sul motore di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_OVER_CURRENT_PHASE_U	32.2	1 Bit	1	Bool	Rilevata errata corrente sul motore di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_OVER_CURRENT_PHASE_V	32.3	1 Bit	1	Bool	Rilevata errata corrente sul motore di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_OVER_CURRENT_HW	32.4	1 Bit	1	Bool	Rilevata errata corrente sul motore di brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_OVER_CURRENT_TOT	32.5	1 Bit	1	Bool	Rilevata errata corrente sul motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_OVER_CURRENT_PHASE_U	32.6	1 Bit	1	Bool	Rilevata errata corrente sul motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_OVER_CURRENT_PHASE_V	32.7	1 Bit	1	Bool	Rilevata errata corrente sul motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_OVER_CURRENT_HW	33.0	1 Bit	1	Bool	Rilevata errata corrente sul motore di elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_PRESENZA_CLOCHE	33.1	1 Bit	1	Bool	Rilevata mancanza cloche	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_LOW_VOLTAGE	33.2	1 Bit	1	Bool	Rilevata sottotensione	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_HIGH_VOLTAGE	33.3	1 Bit	1	Bool	Rilevata sovratensione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_HIGH_TEMP	33.4	1 Bit	1	Bool	Rilevata temperatura alta motore brandeggio	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_TRA_HIGH_TEMP_HW	33.5	1 Bit	1	Bool	Rilevata temperatura alta motore brandeggio (HW)	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_HIGH_TEMP	33.6	1 Bit	1	Bool	Rilevata temperatura alta motore elevazione	0:"Avaria assente";1:"Avaria presente"
FAILURE_MOTOR_ELE_HIGH_TEMP_HW	33.7	1 Bit	1	Bool	Rilevata temperatura alta motore elevazione (HW)	0:"Avaria assente";1:"Avaria presente"
FAILURE_POWER_SHORT_CIRCUIT	34.0	1 Bit	1	Bool	Rilevato corto-circuito	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_MASTER_RIZZA_DIR	34.1	1 Bit	1	Bool	Rizza di brandeggio inserita	0:"Avaria assente";1:"Avaria presente"
FAILURE_SYSTEM_SLAVE_RIZZA_ELE	34.2	1 Bit	1	Bool	Rizza di elevazione inserita	0:"Avaria assente";1:"Avaria presente"
FAILURE_SIC_FUOCO_L_ESCLUSA	34.3	1 Bit	1	Bool	Sicura Locale di Fuoco Esclusa	0:"Avaria assente";1:"Avaria presente"
FAILURE_SIC_FUOCO_R_ESCLUSA	34.4	1 Bit	1	Bool	Sicura Remota di fuoco Esclusa	0:"Avaria assente";1:"Avaria presente"
FAILURE_NTP_DOWN	34.5	1 Bit	1	Bool	Sincronizzazione temporale non riuscita	0:"Avaria assente";1:"Avaria presente"
FAILURE_INCONGRUITA_PS_SC	34.6	1 Bit	1	Bool	Stato non conforme PS Scambio Cartella	0:"Avaria assente";1:"Avaria presente"
FAILURE_TIMEOUT_SC	34.7	1 Bit	1	Bool	Timeout Scambio Cartella	0:"Avaria assente";1:"Avaria presente"
FAILURE_EMERGENZA	35.0	1 Bit	1	Bool	Warning Stato Emergenza	0:"Avaria assente";1:"Avaria presente"
Spare_106	35.1	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_107	35.2	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_108	35.3	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_109	35.4	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_110	35.5	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_111	35.6	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_112	35.7	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_113	36.0	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_114	36.1	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_115	36.2	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_116	36.3	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_117	36.4	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_118	36.5	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_119	36.6	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_120	36.7	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_121	37.0	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_122	37.1	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_123	37.2	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_124	37.3	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_125	37.4	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_126	37.5	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_127	37.6	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
Spare_128	37.7	1 Bit	1	Padding	Spare	0:"Avaria assente";1:"Avaria presente"
